2022/01/01 Payee
    Assets:Wallet                                                           5.00
    Expenses:Food                                                          -5.00

2022/01/01 Payee
    Assets:Wallet                                                           5.00
    Expenses:Food                                                          -5.00

2022/01/01 Payee
    Assets:Wallet                                                           5.00
    Expenses:Food                                                          -5.00

2022/01/01 Payee
    Assets:Wallet                                                           5.00
    Expenses:Food                                                          -5.00

2022/02/01 Payee
    Assets:Wallet                                                           5.00
    Expenses:Food                                                          -5.00

2022/02/01 Payee
    Assets:Wallet                                                           5.00
    Expenses:Food                                                          -5.00

2022/02/01 Payee
    Assets:Wallet                                                           5.00
    Expenses:Food                                                          -5.00

2022/02/01 Payee
    Assets:Wallet                                                           5.00
    Expenses:Food                                                          -5.00

2022/03/01 Payee
    Assets:Wallet                                                           5.00
    Expenses:Food                                                          -5.00

2022/03/01 Payee
    Assets:Wallet                                                           5.00
    Expenses:Food                                                          -5.00

2022/04/01 Payee
    Assets:Wallet                                                           5.00
    Expenses:Food                                                          -5.00

2022/04/01 Payee
    Assets:Wallet                                                           5.00
    Expenses:Food                                                          -5.00

2022/04/01 Payee
    Assets:Wallet                                                          10.00
    Expenses:Food                                                         -10.00

2022/04/01 Payee
    Assets:Wallet                                                          10.00
    Expenses:Food                                                         -10.00

